distributor_name,manufacturer_name,part_number,price,created_at,category
NorthPeak Auto Supply,Denso,T5Z-33761,101.18,2023-01-23 0:00:00,Brakes
EverDrive Components,Denso Co.,vy9088-96,390.64,2023-03-22 0:00:00,Lighting
BlueRiver Parts Co.,Continental,VQO-04331,370.92,2024-10-05 0:00:00,Transmission
MetroTorque Supply,Delphi,DQG/16954,415.43,2023-11-14 0:00:00,Exhaust
RoadLine Auto Parts,NGK Spark,YW2-95875,407.57,2024-05-17 0:00:00,Steering
GreenBridge Automotive,NGK,vk258218,406.26,2024-03-22 0:00:00,Brakes
GreenBridge Automotive,Denso Co.,5ZF/83329,18.59,2023-01-16 0:00:00,Steering
PrimeGear Logistics,Denso,PH6-86341,259.85,2024-10-21 0:00:00,Suspension
SummitRide Distributors,Magneti Marelli,s00.42403,16.26,2023-04-23 0:00:00,Body
NorthPeak Auto Supply,Magneti Marelli SpA,X05-53953,412.59,2023-12-18 0:00:00,Steering
SummitRide Distributors,Bosch Co.,6TF-09542,474.49,2024-10-08 0:00:00,Electrical
NorthPeak Auto Supply,ContiTech,ILQ-14322,451.63,2024-07-03 0:00:00,Steering
NorthPeak Auto Supply,ACDelco,56O-79513,183.86,2024-06-23 0:00:00,Exhaust
Axis Motor Distributors,Denso,49i-77300,354.56,2023-03-11 0:00:00,Exhaust
GreenBridge Automotive,Continental,RIL00760,136.45,2023-10-29 0:00:00,Electrical
MetroTorque Supply,ACDelco,ojm-87927,241.62,2023-08-21 0:00:00,Suspension
GreenBridge Automotive,Denso,ADU-44517,454.32,2024-11-26 0:00:00,Exhaust
GreenBridge Automotive,Bosch Industrial,VKH-24980,308.28,2023-01-17 0:00:00,Suspension
SilverBolt Components,Denso Corp,EGI-94170,253.58,2023-09-27 0:00:00,Transmission
GreenBridge Automotive,Bosch,BXG.42332,181.32,2023-02-24 0:00:00,Lighting
RoadLine Auto Parts,Delphi Corp,9VD-69111,325.04,2024-11-14 0:00:00,Transmission
SilverBolt Components,Valeo SA,7xe/16418,94.78,2024-06-15 0:00:00,Exhaust
EverDrive Components,Delphi Corp,5-UY65985,46.98,2024-06-06 0:00:00,Cooling
NorthPeak Auto Supply,Magneti Marelli SpA,D00-20384,414.16,2024-09-15 0:00:00,Suspension
SummitRide Distributors,Valeo,JYO-01717,371.2,2024-05-12 0:00:00,Engine
SilverBolt Components,ACDelco Corp,EON403-42,203.46,2023-09-09 0:00:00,Suspension
EverDrive Components,Continental Corp,U31-90695,96.2,2024-11-13 0:00:00,Engine
SilverBolt Components,Continental Corp,gw3-90559,261.27,2024-01-16 0:00:00,Exhaust
SilverBolt Components,ACDelco,2z6/48781,143.38,2023-06-06 0:00:00,Suspension
GreenBridge Automotive,A.C. Delco,WON-22873,322.65,2023-08-08 0:00:00,Brakes
BlueRiver Parts Co.,Denso Co.,B0E41135,439.02,2023-06-30 0:00:00,Cooling
BlueRiver Parts Co.,ACDelco,7GW-08562,126.1,2024-10-17 0:00:00,Exhaust
Axis Motor Distributors,Denso Co.,6ZK-89988,456.77,2024-10-22 0:00:00,Electrical
SilverBolt Components,Magneti-Marelli,BAE/65758,446.1,2023-03-12 0:00:00,Suspension
SummitRide Distributors,Denso Corp,C20-98200,122.79,2023-12-29 0:00:00,Lighting
GreenBridge Automotive,Bosch GmbH,5KD578-00,228.11,2023-04-17 0:00:00,Body
NorthPeak Auto Supply,Denso,OS5-19455,148.66,2024-10-05 0:00:00,Suspension
SilverBolt Components,NGK Industries,YQ2-25853,249.5,2023-01-20 0:00:00,Lighting
PrimeGear Logistics,Continental Corp,YHP-72075,239.27,2024-01-04 0:00:00,Suspension
SummitRide Distributors,AC Delco,NKD/90083,20.61,2024-04-03 0:00:00,Brakes
SilverBolt Components,Valeo Corp,h1x-69876,115.88,2024-09-04 0:00:00,Lighting
NorthPeak Auto Supply,NGK,pjs-83636,21.14,2023-08-31 0:00:00,Electrical
RoadLine Auto Parts,Delphi Corp,IEV.18364,433.94,2023-01-22 0:00:00,Cooling
PrimeGear Logistics,NGK,k8p70113,65.61,2024-04-02 0:00:00,Transmission
MetroTorque Supply,Denso,R09.43944,131.51,2023-10-17 0:00:00,Electrical
BlueRiver Parts Co.,Continental AG,1ZK-81566,430.53,2023-06-03 0:00:00,Steering
MetroTorque Supply,Delphi Technologies,5jq.34769,69.87,2023-05-13 0:00:00,Engine
RoadLine Auto Parts,Denso Co.,7me.95561,340.97,2024-02-20 0:00:00,Engine
Axis Motor Distributors,Delphi Technologies,ODU30-548,26.28,2023-10-11 0:00:00,Brakes
MetroTorque Supply,Valeo Industries,Q3Q-51512,91.04,2023-02-19 0:00:00,Electrical
SummitRide Distributors,Continental,6s9/78408,116.95,2024-04-28 0:00:00,Body
BlueRiver Parts Co.,Delphi Technologies,HUW/57972,116.01,2023-06-18 0:00:00,Cooling
GreenBridge Automotive,Continental AG,KFH7-8387,151.58,2023-08-04 0:00:00,Transmission
GreenBridge Automotive,ContiTech,1MI/47039,509.11,2023-06-04 0:00:00,Brakes
SummitRide Distributors,ACDelco,5g4-69640,517.63,2023-04-06 0:00:00,Electrical
NorthPeak Auto Supply,Continental,PEK-57245,196.46,2024-11-17 0:00:00,Engine
NorthPeak Auto Supply,Valeo,YFI34050,225.67,2023-07-29 0:00:00,Electrical
SilverBolt Components,Marelli,QJ6-80166,71.64,2024-01-02 0:00:00,Suspension
GreenBridge Automotive,NGK,cvj.03411,171.98,2024-08-02 0:00:00,Electrical
MetroTorque Supply,Delphi,d29-41618,370.14,2023-07-17 0:00:00,Brakes
BlueRiver Parts Co.,Denso Corp,7QU57594,457.61,2023-04-23 0:00:00,Brakes
SilverBolt Components,Denso,W40-26105,257.09,2023-12-27 0:00:00,Cooling
SilverBolt Components,Valeo,N65.11010,64.5,2024-02-16 0:00:00,Electrical
SummitRide Distributors,Bosch,bds683-44,248.79,2023-04-09 0:00:00,Suspension
SilverBolt Components,Valeo,e3h.76428,196.07,2024-02-27 0:00:00,Steering
NorthPeak Auto Supply,Denso Manufacturing,HVE-13081,25.76,2024-11-23 0:00:00,Brakes
BlueRiver Parts Co.,NGK,1L2-44131,79.75,2024-03-22 0:00:00,Cooling
BlueRiver Parts Co.,Delphi,H4H-63192,370.43,2023-10-31 0:00:00,Brakes
EverDrive Components,Denso Corp,BIT/83452,378.65,2024-09-29 0:00:00,Engine
NorthPeak Auto Supply,Continental Corp,6C4-70488,230.64,2024-09-18 0:00:00,Body
GreenBridge Automotive,Denso,5y-j81827,103.94,2023-12-07 0:00:00,Steering
RoadLine Auto Parts,Delphi Systems,YVZ-40162,210.92,2024-05-03 0:00:00,Suspension
MetroTorque Supply,Delphi,3EI-94628,348.76,2024-03-08 0:00:00,Cooling
RoadLine Auto Parts,Valeo Corp,9-ka41914,396.96,2024-05-24 0:00:00,Electrical
NorthPeak Auto Supply,ContiTech,IEP-01999,157.34,2023-12-12 0:00:00,Lighting
SummitRide Distributors,ACDelco,N1W-93603,462.2,2023-08-03 0:00:00,Body
PrimeGear Logistics,NGK,3SI-72975,78.77,2024-01-09 0:00:00,Suspension
MetroTorque Supply,Valeo Industries,A2E.30165,257.77,2024-02-24 0:00:00,Body
SilverBolt Components,Continental Corp,ONH70318,59.77,2023-03-12 0:00:00,Brakes
NorthPeak Auto Supply,Continental,kz9/74463,285.47,2023-12-21 0:00:00,Steering
SummitRide Distributors,Valeo,CQ1-93633,98.48,2023-11-19 0:00:00,Engine
