id,part_number,manufacturer_name,updated_at,categories_list,aka_part_numbers_list,name
102,KDU-45588,ACDelco,2024-05-01 0:00:00,Exhaust;Steering;Lighting,QKS-60525;32C-60104;JAO-10958,ACDelco Exhaust Part KDU-45588
103,TWC-53143,Delphi,2024-11-12 0:00:00,Suspension;Lighting,JPY-40162,Delphi Suspension Part TWC-53143
104,CTA-46159,Bosch,2023-06-28 0:00:00,Body;Electrical,452-57896;XG8-14951,Bosch Body Part CTA-46159
105,F98-35460,NGK,2023-05-12 0:00:00,Engine;Lighting;Steering,,NGK Engine Part F98-35460
106,1QC-84678,Continental,2024-01-14 0:00:00,Body;Brakes,7FG-25477;TTG-31062,Continental Body Part 1QC-84678
107,2GD-47998,Magneti Marelli,2024-05-02 0:00:00,Brakes,FI9-54418,Magneti Marelli Brakes Part 2GD-47998
108,4EK-28587,Continental,2023-01-23 0:00:00,Exhaust,,Continental Exhaust Part 4EK-28587
109,G6E-87012,Valeo,2023-05-10 0:00:00,Lighting,92S-66032;ADU-44517;J60-75015,Valeo Lighting Part G6E-87012
110,RQ8-76723,Bosch,2024-03-10 0:00:00,Lighting;Exhaust;Steering,93R-70933,Bosch Lighting Part RQ8-76723
111,GOB-15054,ACDelco,2024-01-26 0:00:00,Electrical;Lighting,,ACDelco Electrical Part GOB-15054
112,4B8-75281,Delphi,2024-05-05 0:00:00,Steering,,Delphi Steering Part 4B8-75281
113,4RC-36657,Delphi,2023-07-19 0:00:00,Electrical,JTX-44448,Delphi Electrical Part 4RC-36657
114,CCD-77845,Continental,2024-09-27 0:00:00,Transmission,HIU-52384;59E-31604,Continental Transmission Part CCD-77845
115,81T-81245,ACDelco,2024-11-09 0:00:00,Electrical;Cooling;Suspension,,ACDelco Electrical Part 81T-81245
116,58N-17083,Delphi,2023-03-17 0:00:00,Suspension;Engine,,Delphi Suspension Part 58N-17083
117,E8Y-50957,Bosch,2023-01-31 0:00:00,Cooling,KW0-00891;VCT-11529,Bosch Cooling Part E8Y-50957
118,PFQ-26592,Continental,2024-04-30 0:00:00,Transmission;Cooling,JYW-53427;HS0-83562;DH6-49756,Continental Transmission Part PFQ-26592
119,0TW-71488,Bosch,2024-07-08 0:00:00,Cooling;Lighting;Exhaust,,Bosch Cooling Part 0TW-71488
120,UTR-27224,Magneti Marelli,2024-06-30 0:00:00,Lighting;Cooling,PEK-64505;Y32-01106;2U0-56244,Magneti Marelli Lighting Part UTR-27224
121,9NO-03577,NGK,2023-04-12 0:00:00,Suspension,167-71658;JIP-70375,NGK Suspension Part 9NO-03577
122,5F0-74465,NGK,2024-11-15 0:00:00,Steering,V1R-17761;A0N-34253;R3V-18944,NGK Steering Part 5F0-74465
123,HRA-14997,Delphi,2023-08-14 0:00:00,Transmission;Engine;Lighting,SFZ-21374;LWG-71349,Delphi Transmission Part HRA-14997
124,SVC-37546,Bosch,2023-09-14 0:00:00,Transmission;Body,S3T-92890;P56-53181;I7Y-51748,Bosch Transmission Part SVC-37546
125,IIG-19763,Magneti Marelli,2023-05-12 0:00:00,Body;Exhaust;Suspension,YMW-46882,Magneti Marelli Body Part IIG-19763
126,FD4-00139,Valeo,2023-12-14 0:00:00,Steering,5Z6-03954,Valeo Steering Part FD4-00139
127,DFL-35620,Continental,2023-04-20 0:00:00,Electrical;Cooling,JYO-01717;G3N-79505;595-33403,Continental Electrical Part DFL-35620
128,WDE-38865,NGK,2024-03-14 0:00:00,Body;Cooling,TVO-69445;AR3-09951;1OG-47315,NGK Body Part WDE-38865
129,IOE-20900,Valeo,2023-11-16 0:00:00,Electrical;Exhaust;Steering,XS0-84185;E0O-50688,Valeo Electrical Part IOE-20900
130,3RZ-29146,Continental,2023-08-25 0:00:00,Engine;Cooling,HTR-24578;LS1-11409,Continental Engine Part 3RZ-29146
131,AEH-56936,Magneti Marelli,2023-03-05 0:00:00,Lighting;Transmission,QNG-27147,Magneti Marelli Lighting Part AEH-56936
132,2J2-98000,NGK,2023-12-27 0:00:00,Suspension;Exhaust;Body,IVJ-18396;UFB-82412,NGK Suspension Part 2J2-98000
133,WQ1-84739,Denso,2023-01-13 0:00:00,Steering;Lighting;Exhaust,1J2-36643;RMJ-15330,Denso Steering Part WQ1-84739
134,LIE-14430,Bosch,2024-08-31 0:00:00,Cooling;Exhaust,RSZ-00930;AS0-90220;K7L-36640,Bosch Cooling Part LIE-14430
135,YD7-45551,Denso,2023-01-19 0:00:00,Transmission;Suspension,U8F-71975;NWK-44132;D1N-48247,Denso Transmission Part YD7-45551
136,MG0-14115,Valeo,2023-03-08 0:00:00,Body;Engine;Electrical,VFG-46752;78L-63362;QZU-85059,Valeo Body Part MG0-14115
137,BRM-26558,Denso,2024-10-09 0:00:00,Engine;Brakes,9N4-73630;LT8-73067,Denso Engine Part BRM-26558
138,A3P-13153,NGK,2023-12-27 0:00:00,Body,ZZ7-22475;YV2-51001;YHP-72075,NGK Body Part A3P-13153
139,DRB-89522,Delphi,2023-04-23 0:00:00,Transmission,KGR-76490;7XD-54894;BZC-13434,Delphi Transmission Part DRB-89522
140,G9D-88875,Continental,2023-05-03 0:00:00,Steering;Transmission;Cooling,HAG-11197;YIJ-00409;2SV-75959,Continental Steering Part G9D-88875
141,X6J-84506,Delphi,2024-09-27 0:00:00,Electrical;Steering,VPT-15258;R86-59833;VH4-41504,Delphi Electrical Part X6J-84506
142,7GF-65091,Delphi,2023-04-20 0:00:00,Suspension;Electrical;Engine,,Delphi Suspension Part 7GF-65091
143,YEH-84727,Denso,2024-05-24 0:00:00,Engine,YFI-34050;25F-59184,Denso Engine Part YEH-84727
144,B4A-24481,ACDelco,2024-09-21 0:00:00,Engine;Suspension,,ACDelco Engine Part B4A-24481
145,HMT-14981,Continental,2023-02-19 0:00:00,Suspension;Brakes;Lighting,XX5-21924;947-47455,Continental Suspension Part HMT-14981
146,ANE-81013,Denso,2024-09-22 0:00:00,Engine;Body;Exhaust,ZPP-71870;5RU-25316;W6D-09415,Denso Engine Part ANE-81013
147,Y0N-81851,Continental,2024-11-16 0:00:00,Steering,DLQ-55299;03T-54170;YHR-62230,Continental Steering Part Y0N-81851
148,7KM-77223,Continental,2023-10-31 0:00:00,Body;Electrical,,Continental Body Part 7KM-77223
149,TH5-22195,NGK,2023-02-02 0:00:00,Suspension;Steering;Cooling,,NGK Suspension Part TH5-22195
150,7CY-49626,Continental,2023-04-21 0:00:00,Exhaust;Transmission,,Continental Exhaust Part 7CY-49626
151,PH6-86341,Denso,2024-03-25 0:00:00,Brakes,WQV-12172,Denso Brakes Part PH6-86341
152,MGX-73550,Delphi,2023-04-13 0:00:00,Body;Cooling;Lighting,KZJ-70781;RZN-57646,Delphi Body Part MGX-73550
153,XLC-21072,Magneti Marelli,2023-01-15 0:00:00,Body;Engine;Electrical,DC7-87300;XO3-58100,Magneti Marelli Body Part XLC-21072
154,QW0-51843,NGK,2023-11-25 0:00:00,Body,WW2-09211,NGK Body Part QW0-51843
155,YG4-33348,Magneti Marelli,2024-06-14 0:00:00,Lighting;Suspension;Transmission,KQF-22086,Magneti Marelli Lighting Part YG4-33348
156,E06-45874,ACDelco,2023-02-15 0:00:00,Transmission;Cooling,,ACDelco Transmission Part E06-45874
157,YDC-42206,Denso,2023-02-28 0:00:00,Suspension;Electrical,BXP-63444;PFC-42591,Denso Suspension Part YDC-42206
158,KBX-65742,Continental,2023-06-08 0:00:00,Engine,,Continental Engine Part KBX-65742
159,XHO-31862,Denso,2023-11-22 0:00:00,Lighting,XJX-35964;RHB-47756,Denso Lighting Part XHO-31862
160,YA8-79960,NGK,2023-11-30 0:00:00,Transmission;Cooling;Lighting,RZ5-37530,NGK Transmission Part YA8-79960
161,N65-11010,Valeo,2024-04-02 0:00:00,Engine;Electrical;Body,R09-43944;BE9-17527,Valeo Engine Part N65-11010
162,LEO-13764,Delphi,2024-02-23 0:00:00,Steering;Engine;Transmission,2SE-93020,Delphi Steering Part LEO-13764
163,637-72428,Denso,2024-09-12 0:00:00,Lighting;Brakes;Transmission,,Denso Lighting Part 637-72428
164,O6T-29498,Continental,2023-02-12 0:00:00,Transmission;Lighting;Engine,PGP-13938;52W-04835;4JJ-64211,Continental Transmission Part O6T-29498
165,RYM-93926,NGK,2024-05-27 0:00:00,Engine;Steering;Body,0CC-88425;ICH-11802,NGK Engine Part RYM-93926
166,HE3-62974,Valeo,2023-12-08 0:00:00,Transmission;Brakes,A7S-79184;ZTG-43625;YQN-80218,Valeo Transmission Part HE3-62974
167,5IC-26785,Delphi,2024-06-21 0:00:00,Cooling,3O7-13701,Delphi Cooling Part 5IC-26785
168,VWX-83129,Magneti Marelli,2024-02-04 0:00:00,Electrical,SJA-26161;CHA-73904,Magneti Marelli Electrical Part VWX-83129
169,EDT-42536,,2023-08-06 0:00:00,,LY6-03644;1Z4-39491;S0Q-26636,Magneti Marelli Cooling Part EDT-42536
170,QYT-00099,Valeo,2023-10-20 0:00:00,Exhaust;Engine,RY1-16580,Valeo Exhaust Part QYT-00099
171,BYM-02251,Bosch,2023-03-31 0:00:00,Engine;Exhaust,6DO-81625,Bosch Engine Part BYM-02251
172,4PT-16977,NGK,2024-09-28 0:00:00,Suspension,,NGK Suspension Part 4PT-16977
173,ZUL-13228,Continental,2024-11-05 0:00:00,Electrical;Engine;Brakes,M8U-00122;NV6-33752;EC9-66496,Continental Electrical Part ZUL-13228
174,ELG-77791,Bosch,2023-07-11 0:00:00,Engine;Steering,CZ7-93029;HR6-94295,Bosch Engine Part ELG-77791
175,SST-22377,Bosch,2023-01-12 0:00:00,Steering;Lighting,H50-50835;G8Y-41712;W7W-80786,Bosch Steering Part SST-22377
176,LYX-00581,NGK,2024-06-01 0:00:00,Cooling;Steering;Suspension,IEA-75764;IHW-15410,NGK Cooling Part LYX-00581
177,F9K-12057,Bosch,2023-07-07 0:00:00,Electrical,KW6-90791;5SK-56557;TS6-77687,Bosch Electrical Part F9K-12057
178,NOF-51175,Magneti Marelli,2023-06-29 0:00:00,Electrical,,Magneti Marelli Electrical Part NOF-51175
179,JVP-68193,Magneti Marelli,2023-01-10 0:00:00,Brakes;Transmission,V5O-14506,Magneti Marelli Brakes Part JVP-68193
180,KCF-39509,Delphi,2024-04-11 0:00:00,Body,GW3-90559;S00-42403,Delphi Body Part KCF-39509
181,C7O-78679,Valeo,2023-04-13 0:00:00,Brakes;Electrical;Lighting,,Valeo Brakes Part C7O-78679
182,K53-49104,ACDelco,2023-06-27 0:00:00,Exhaust;Engine,SI0-71526;5OP-08017;1R0-73251,ACDelco Exhaust Part K53-49104
183,L1C-72970,Denso,2024-02-16 0:00:00,Cooling;Brakes,Y0G-86751;FQY-64216,Denso Cooling Part L1C-72970
184,7LG-22737,Magneti Marelli,2024-06-04 0:00:00,Engine;Electrical,5O0-04860,Magneti Marelli Engine Part 7LG-22737
185,6VN-76522,Continental,2024-08-21 0:00:00,Suspension;Transmission;Cooling,,Continental Suspension Part 6VN-76522
186,MAX-62871,Valeo,2024-11-17 0:00:00,Electrical;Cooling,QZ4-12717,Valeo Electrical Part MAX-62871
187,M91-28054,Denso,2024-04-03 0:00:00,Exhaust,KFL-07429,Denso Exhaust Part M91-28054
188,5VF-00350,Denso,2024-05-26 0:00:00,Engine,N7B-33479,Denso Engine Part 5VF-00350
189,2O0-36684,Bosch,2024-11-04 0:00:00,Lighting;Suspension;Body,R0I-16396;R88-63792,Bosch Lighting Part 2O0-36684
190,UDB-42005,Bosch,2024-01-25 0:00:00,Electrical;Suspension;Steering,8OE-02871;DFS-52161;TI2-18062,Bosch Electrical Part UDB-42005
191,PNL-45210,Continental,2024-08-22 0:00:00,Transmission,1QJ-94658;KA6-77185;VMM-72015,Continental Transmission Part PNL-45210
192,7OJ-16316,Magneti Marelli,2023-11-06 0:00:00,Brakes;Transmission,,Magneti Marelli Brakes Part 7OJ-16316
193,ZFC-10478,Continental,2023-10-17 0:00:00,Steering,2Z6-48781,Continental Steering Part ZFC-10478
194,JOJ-21011,Denso,2024-03-04 0:00:00,Electrical,,Denso Electrical Part JOJ-21011
195,GOQ-92377,Denso,2023-02-07 0:00:00,Lighting;Transmission;Electrical,GIG-17815;HE2-85037,Denso Lighting Part GOQ-92377
196,RJF-58408,Delphi,2023-06-14 0:00:00,Engine;Exhaust,JL3-01443,Delphi Engine Part RJF-58408
197,JOM-31915,Bosch,2023-03-30 0:00:00,Steering;Exhaust,H6B-10988;JQY-10080,Bosch Steering Part JOM-31915
198,S0P-46873,Magneti Marelli,2023-03-16 0:00:00,Cooling;Steering;Brakes,,Magneti Marelli Cooling Part S0P-46873
199,SBF-87915,ACDelco,2023-10-18 0:00:00,Body;Lighting,,ACDelco Body Part SBF-87915
200,5KF-61054,Delphi,2023-01-03 0:00:00,Body;Cooling;Engine,8NJ-39192,Delphi Body Part 5KF-61054
201,IJ3-15174,Magneti Marelli,2023-01-24 0:00:00,Electrical,BII-62319;GBZ-27207;AE9-31870,Magneti Marelli Electrical Part IJ3-15174
202,0QH-98589,NGK,2023-09-09 0:00:00,Cooling;Steering;Lighting,JEF-13715;524-77624;Z8W-86953,NGK Cooling Part 0QH-98589
203,8E5-16718,ACDelco,2023-09-18 0:00:00,Steering;Exhaust;Lighting,K61-56733;4LT-18166,ACDelco Steering Part 8E5-16718
204,ODU-30548,Delphi,2023-03-09 0:00:00,Steering;Engine,ZB4-69355,Delphi Steering Part ODU-30548
205,DSJ-89672,Valeo,2023-11-26 0:00:00,Cooling;Transmission;Lighting,,Valeo Cooling Part DSJ-89672
206,JHY-13277,Delphi,2024-11-13 0:00:00,Lighting;Engine;Body,YLH-65778,Delphi Lighting Part JHY-13277
207,FKU-76825,Valeo,2024-06-17 0:00:00,Body,,Valeo Body Part FKU-76825
208,CD3-09668,Magneti Marelli,2023-10-01 0:00:00,Suspension;Engine;Brakes,,Magneti Marelli Suspension Part CD3-09668
209,N3C-05115,Bosch,2024-03-12 0:00:00,Lighting;Electrical;Steering,HJA-90203;GE8-08273,Bosch Lighting Part N3C-05115
210,ZIB-52227,Continental,2024-09-16 0:00:00,Body;Lighting;Cooling,,Continental Body Part ZIB-52227
211,FTV-88943,Valeo,2023-11-20 0:00:00,Steering;Exhaust;Brakes,84T-95807;9DZ-33528;XEP-12095,Valeo Steering Part FTV-88943
212,ZYA-42149,Bosch,2023-09-08 0:00:00,Brakes,39Y-93786,Bosch Brakes Part ZYA-42149
213,,Magneti Marelli,2024-05-23 0:00:00,Suspension,DY2-40515;BIK-35129,Magneti Marelli Suspension Part 10E-37506
